species,island,status,study,,,,,,,,,
micronesian honeyeater,Rota,,Camp et al 2014,,,,,,,,,
rota white-eye,Rota,,Camp et al 2014,,,,,,,,,
rufous fantail,Rota,,Camp et al 2014,,,,,,,,,
white-throated ground dove,Rota,,Camp et al 2014,,,,,,,,,
white tern,Rota,,Camp et al 2014,,,,,,,,,
yellow bittern,Rota,,Camp et al 2014,,,,,,,,,
micronesian megapode,Sarigan,,assumed post-translocation,,,,,,,,,
collared kingfisher,Sarigan,,assumed post-translocation,,,,,,,,,
micronesian starling,Sarigan,,assumed post-translocation,,,,,,,,,
micronesian honeyeater,Sarigan,,assumed post-translocation,,,,,,,,,
white tern,Sarigan,,assumed post-translocation,,,,,,,,,
white-throated ground dove,Sarigan,,assumed post-translocation,,,,,,,,,
bridled white-eye,Sarigan,,assumed post-translocation,,,,,,,,,
golden white-eye,Sarigan,,assumed post-translocation,,,,,,,,,
mariana fruit dove,Sarigan,,assumed post-translocation,,,,,,,,,
rufous fantail,Sarigan,,assumed post-translocation,,,,,,,,,
micronesian honeyeater,Guguan,,assumed post-translocation,,,,,,,,,
micronesian megapode,Guguan,,assumed post-translocation,,,,,,,,,
micronesian starling,Guguan,,assumed post-translocation,,,,,,,,,
white-throated ground dove,Guguan,,assumed post-translocation,,,,,,,,,
intermediate egret,Guguan,,assumed post-translocation,,,,,,,,,
bridled white-eye,Guguan,,assumed post-translocation,,,,,,,,,
tinian monarch,Guguan,,assumed post-translocation,,,,,,,,,
rufous fantail,Guguan,,assumed post-translocation,,,,,,,,,
mariana fruit dove,Guguan,,assumed post-translocation,,,,,,,,,
micronesian honeyeater,Alamagan,,DFW2017,,,,,,,,,
micronesian starling,Alamagan,,DFW2017,,,,,,,,,
nightingale reed-warbler ,Alamagan,,DFW2017,,,,,,,,,
collared kingfisher,Alamagan,,DFW2017,,,,,,,,,
micronesian megapode,Alamagan,,DFW2017,,,,,,,,,
white-throated ground dove,Alamagan,,DFW2017,,,,,,,,,
white tern,Alamagan,,DFW2017,,,,,,,,,
red junglefowl,Alamagan,,DFW2017,,,,,,,,,
micronesian honeyeater,Alamagan,,assumed post-translocation,,,,,,,,,
micronesian starling,Alamagan,,assumed post-translocation,,,,,,,,,
nightingale reed-warbler ,Alamagan,,assumed post-translocation,,,,,,,,,
collared kingfisher,Alamagan,,assumed post-translocation,,,,,,,,,
micronesian megapode,Alamagan,,assumed post-translocation,,,,,,,,,
white-throated ground dove,Alamagan,,assumed post-translocation,,,,,,,,,
rufous fantail,Alamagan,,assumed post-translocation,,,,,,,,,
white tern,Alamagan,,assumed post-translocation,,,,,,,,,
red junglefowl,Alamagan,,assumed post-translocation,,,,,,,,,
golden white-eye,Alamagan,,assumed post-translocation,,,,,,,,,
